stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,1,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,18,1,5,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0.85,0,0,0,0,0,0,0,0,1.13,1.69,0,0.85,0,0.28,0,11.27,5.36,3.1,0,0,1.13,0,0,1.69,0,0,0,0
21Day,0.74,0.37,1.85,4.07,0.74,0,0,0,0,0,0,0,22.57,0,2.22,0.37,3.7,0,0,0.37,2.59,1.85,1.48,0,0,1.11,1.85,0.37,1.11,0,0,0,0
3Month,0.21,0.52,1.46,8.74,0,0.31,3.22,0.62,0,14.25,1.25,0.1,108.18,0.94,1.98,0.52,1.87,0.52,0,0.31,33.7,0.42,0,0.31,0.21,0.1,1.14,7.8,0.1,0.1,0.52,0.73,0.73
22Month,0,0.41,1.09,2.19,0,0.27,1.64,0.96,0.68,12.3,0.14,0.14,92.51,0,0,0.82,1.09,0,0.27,0.41,1.23,0.14,0,0.41,0,0,0.41,2.6,0.14,0.14,0,0,0.41
