stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,1,0,0,0,0,3,0
72hpf,0,0,0,0,0,0,0,0,0,0,3.1,0.56,0
21Day,0.37,0.74,0,0,0.37,0.37,0,0.74,0,0,2.22,0.37,0
3Month,0,0.1,0,0.1,0,0.1,0,0.1,0.1,0,0.1,0,0.1
22Month,0.14,0,0.41,0,0.14,0,0,0.14,0,0.14,0,0,0.27
