stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0,0,0,0,0,0,0,0,0.28,0.56,0,0.56,0,0,1.41,2.25,0,0.56,0,0,0,0,0,0
21Day,0.74,0,0.37,1.11,1.11,0.74,0,0,0,0.37,1.48,0,0.37,0.74,0,3.33,0,0,1.11,1.48,0,0.37,0,0,0.37,0,0,0
3Month,0,0,0.1,1.14,0,0.1,0,0.31,0.94,0.1,0.1,0.21,0,0.52,0.21,0.1,0,0.1,0.1,0,0,0,0.1,1.35,0,0.1,1.04,0.52
22Month,0,0.14,0.14,0.55,0,0,0.14,0.27,2.19,0,0,0.14,0,0,0.27,0,0.27,0,0.14,0,0.14,0,0,0.14,0,0,0,0.14
