stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,18.04,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0,4.23,0,0,0.85,3.38,2.54,0,1.13,0,3.95,0,0,20.01,0,0.28,0.56,0,0,0
21Day,0.74,6.66,0,1.85,0,0.74,0,0,0.37,0,0.37,0,0,0,0,0,0.37,13.69,0,0,1.48,2.22,2.22,0,2.96,0,4.81,1.11,0,17.02,0.74,0.74,0,0,0,0
3Month,0,22.47,0,1.14,0,0,0.83,0.1,0.62,0,1.14,0.42,0.1,0.42,0.1,0.42,1.46,7.07,1.25,0,2.08,0.1,0,0,2.29,0,0,0.31,4.99,9.47,0.1,0,0,3.64,1.04,0.1
22Month,0,51.79,0.14,0.82,0.14,0,0.41,0.27,1.78,1.78,3.83,0.41,0.27,0.68,0,0.14,1.23,4.1,0.14,0.27,0.96,0,0.27,0.14,7.79,0.14,0.14,0.14,1.37,22.14,0.14,0,0.14,2.32,0,0.55
