stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,7,2,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,9.3,1.13,0,0,0,0,0.28,0.56,0,0
21Day,0,0,1.48,0,0.74,1.11,0,0.37,0,0,0,0,0,1.48,2.22,0.37,0,1.11,0,5.18,1.11,0,0,0.37,0,0,0,0,0.74
3Month,0.1,0,0.94,0.1,0,0,0.21,0.21,1.14,0.21,0,0.21,0.42,0.31,0.73,0.1,0.21,15.5,0.42,0.31,0,0.1,0,0,1.04,0,0,0.1,2.29
22Month,0,0.27,0.14,0,0,0,0.14,0,2.05,0,0.27,0.27,0,0,0.41,0.41,0,6.97,0,0.27,0,0,0.14,0,0.14,0,0,0,3.28
