stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,4,328,0,0,0,4,0,0,0,0,0,2,0,0,0
72hpf,2.25,0.56,0,1.69,2.54,1.69,0,0,0,0,0,0,0.56,4.23,0.28,41.15,0,0,0.28,0,171.08,42.84,0,0,0,51.86,0,0,17.76,0,0.28,0.28,0,0,0
21Day,1.11,0.37,0,2.22,0.74,1.48,0,0.37,0,0,3.33,0,0,3.7,0,32.93,0,0,3.33,0,46.99,10.73,0.74,0.37,0,5.55,2.22,0,8.88,0.37,1.11,0,0,0,0
3Month,0,0.1,0,0.21,0.1,0,0,0.21,0.73,0.21,0.1,0.42,0,0.73,0.1,2.81,0.1,0,0.73,0.1,0.31,0.31,0.42,0,0,0.1,0.1,0.42,0.1,0,0,0.1,0.1,0.1,0.1
22Month,0,0.27,0.14,0.82,0,0,0.27,0.14,33.07,0.41,0.14,0.55,0,0.27,0.27,2.46,0,0.27,0.14,0,0.55,0.27,1.23,0.14,0.14,0,0.27,0.41,0.41,0,0,0.14,0,0,0
