stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,1,0,0,0,0,0,1,1,0,4,11,0,0
72hpf,0,0,0.28,0,0,0,1.41,0,0.56,0,0.28,2.54,0.28,0.28
21Day,1.85,4.81,0,0.37,0.74,0.37,0.37,0,4.44,0.37,1.11,4.07,1.48,0.37
