stage,Epithelial_cell,Epithelial_cell__Brain_,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,0,0,0,0,0,0,1,0,0,0,0
72hpf,0,0,0.28,0,0,10.71,0.56,0,0.56,0,0.28
21Day,0.37,0.37,0,0.37,0.37,2.96,0,0.74,0.37,0.74,0
