stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,14,0,0,0,0,0,0,0,0,0,6,0,2,8,0,0,0,0,57,0,0,1,0,0,0,0,1,0,0,0
72hpf,0.28,0,0,2.82,5.07,0,0,0,0,0,0.28,0,0,1.41,5.64,0.28,2.25,0,0.28,0.56,2.82,8.17,0.28,0,2.25,0,0,3.1,0.28,0.56,0,0,0
21Day,0,0,0.37,1.11,2.96,0,0,0,0,0,0.37,0,0.37,0,3.33,0,1.48,0,0,0,1.48,1.11,0,0,1.48,0,0.37,0,0,0,0,0,0
3Month,0,0.1,0,7.91,0.31,0.21,0.1,0.62,0.1,0,2.08,0.1,0.52,0.62,0.52,0.52,0.62,0.21,0.31,0.31,0.31,0.21,0.21,0,0,0.21,6.24,0,0,0,0.31,18.1,0.52
22Month,0,0.14,0.14,5.19,0.55,0,0,0,0.27,0.14,7.24,0.27,0.96,0.27,0.27,0.55,0,0,0,0,0.41,0,0.14,0.27,0,0,5.74,0,0,0,0.82,0.14,0
