stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
72hpf,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0,0
21Day,0.74,0,0.74,0,0,17.76,0,0,0.37,0,0,0.37,0.74,2.96,0,0,0,0,2.59,1.11,0,0,0,0.37,0,0,4.07
3Month,0,0,0.52,0.1,0.21,9.47,0.62,0.1,0,0.52,0.1,0.31,0.52,0.31,0,0,0.1,0.1,0.1,0,0,0,0,0.1,1.56,0,3.95
22Month,0,0.55,0.41,0.27,0,21.59,2.87,0.55,0.14,0.41,0,0,0.96,0.41,0.14,0.41,0,0,0.14,0,0.27,0.27,0.14,0.14,0.55,0.14,3.55
