stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,1,0,1,0
72hpf,0,0,0.28,0,0.28,0,0,0.85,0.28,0
21Day,0.37,0,0,0,0.37,0.74,1.11,0,0.37,0
3Month,0.21,0,0,0.1,0,0.62,0.1,0,0,0
22Month,0.14,0.41,0.68,0,0,0,0.14,0,0,0.14
