stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hatching_gland,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,1,1,0,1,1,0,6,0,0,0,0
72hpf,0,0.28,0,0.28,0,0.28,2.25,1.41,0,0,0,0.28
21Day,0.37,0.37,0,0,0,0,0.37,1.48,0.37,0.37,0.37,0
