stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,2,0,0,0,0,0,0,17,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0.85,9.02,0,1.13,0,0,0,0,0
21Day,4.07,0,0,0.37,0,0,0,8.88,0,0.74,0.37,0.74,0,0,0
3Month,5.3,0.1,0.1,0.31,0.31,0.52,0.1,0.62,0.21,0,0,0,0.1,0.1,0.31
22Month,0.68,0,0.27,0.41,0,0.27,0.27,0.14,0,0,0,0,0,0,0
