stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,5,2,0,0,0,0,0,0,0,0,0,1,5,0,21,0,0,0,0,3,52,0,0,5,0,0,0,0,1
72hpf,0.28,1.41,0,0.56,0,0,0,0,0,0.28,0,0,0.85,0.28,9.02,0,0.28,0,0,5.07,12.4,0,0.28,30.72,0,0,11.27,0,1.13
21Day,8.51,2.59,0.37,1.11,0,0.37,0,0,0.37,0,0.37,0.74,0.37,0.74,18.13,0,0,1.11,0,2.22,6.29,0,1.11,39.22,1.11,0,4.81,0.37,0.37
3Month,0,5.72,0,0,0.42,0.52,0.1,1.56,0,0,0.83,0.62,1.35,0.31,17.16,5.72,0,3.12,0.42,0,0,0.31,0,5.93,0.21,0.21,0.21,0,0.1
22Month,0.14,2.73,0.14,0,0.14,0.27,0.96,6.7,0.14,0.27,0.14,0,0.14,0.14,12.16,0.68,0.14,1.09,0,0,0,0.14,0.27,2.6,0,0,0.55,0,0.14
