stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,8.74,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0
21Day,1.48,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0.37,0,0,0
3Month,0.21,0,1.25,0.1,0.21,0,0.1,0.1,0.21,0,0.42,0.31,0,0.1,0.83,0,2.6,0
22Month,0,0,0.27,0,0.68,0.27,0.14,0,0.14,0.14,0,0,0,0,6.15,0.14,0,0.14
