stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0.28,0.28,0,0,0,0,0.28,0,0,0,0.28,0.28,0,0,0
21Day,0.74,1.48,0.37,0,0,0,1.11,2.59,0.37,0.37,1.11,3.7,0,0,0
3Month,0,0.21,0,0,0,0,0.1,0,0,0,0,1.66,0,1.46,0.1
22Month,0,0,0,0.14,0.82,0.14,0.27,0.14,0.14,0,0,3.14,0.14,0,0
