stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,1.13,0,1.41,0,0,0,0,0,0,0,0,1.13,0,3.66,0,0.28,0,104,9.58,0.85,0,2.25,0,0,1.69,0,0.28,0,0,0
21Day,0.74,0,2.22,0,0.74,0,0,0,0,0,0,0,0,0.37,0,9.62,0,0.74,0,20.72,1.85,0.74,0.37,3.7,0.74,0.37,0,0.74,0.37,0,0,0
3Month,0,0,0.21,0,0,0,0,0,0.1,1.98,0.21,0.1,0.1,0,0,0.52,0,0,0.1,0,0.1,0.42,0,0,0.1,0.42,0,0,0,0.31,2.39,0
22Month,0,0,0.55,0.14,0,0.14,0.14,0.27,0,5.06,0.27,0,0,0,0.27,0.82,0.41,0.14,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0.14
