stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,3.66,0,0,0,0,4.23,0,0,0.85,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0
21Day,0.37,0.37,2.22,2.96,2.59,0,0.37,0,0.37,0.37,0,20.72,0.74,0.37,42.92,0,2.96,2.22,2.59,0,0,0.37,0,4.44,0.37,1.48,0.37,0,1.48,2.22,0,0,0.37,0.37,0.37,0,0,1.11
3Month,0.31,1.66,7.18,17.16,0,2.18,0.1,0,6.03,4.37,0.21,699.93,16.54,0.73,257.34,3.64,5.2,3.64,6.35,1.56,0.73,3.33,6.45,1.04,0.21,1.66,0.73,0,0.31,10.82,0.1,3.85,0.52,0.1,0,1.87,2.91,3.95
22Month,0.14,2.46,10.52,8.75,0,1.64,0.27,0.14,9.57,9.84,2.19,1511.75,5.33,0.82,376.06,0.41,0.96,5.47,8.2,0.82,23.5,3.01,0.55,0.55,0.14,3.28,2.19,1.5,0,3.28,0,1.5,0.96,1.78,0,0.41,0,2.73
