stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0.56,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0.37
3Month,0,0.21,0.52,0.1,0,0.73,0.1,0,0.21,0.1,0.21,0,0.1,0.1,0.1,0.1,0,0.21,0,1.04,0,4.99,0
22Month,0,0,0.41,0,0.41,3.69,0,0.14,0.68,0,0,0.27,0.27,0,0,0,0,0,0,0.14,0,0,0
