stage,Granulocyte,Hepatocyte,Mesenchymal_cell__caudal_fin_,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,1,0
3Month,0.1,0,0.1,0,0.1
22Month,0.14,0.27,0,0,0
