stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,0,2,0,1,0,0,0,3,0,1,4,0,0,0,34,1,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,1.13,0,0,0,0,0,0,0,0
21Day,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59,0,0,0,0,0.37,0,0,0
3Month,0,0.1,0.1,4.58,0.1,0,1.25,0.1,0.52,5.62,0.31,0.31,0.1,0.1,0.21,0.21,0,0,0.21,0.1,1.87,0.1,0,4.78,0.52
22Month,0,0,0,0.82,0,0,0.41,0,0.14,0.14,0,0.14,0,0,0,0,0,0,0,0,2.87,0,0.14,0,0
