stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,1,2,0,0,0,4,0,0,1,3,2,4,0,1,28,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0,1.13,0,1.13,0,5.92,3.66,0.85,0,0,0.28,0,0
21Day,0.37,0.37,1.11,1.11,0,0,0,0.37,0,0,0,1.11,0.37,0.74,0.74,0,0.37,0,0,0,0.37
3Month,0,0,0,0,0,0,0.94,0,0,0,0.1,0,0,0,0,0,0,0.31,0,0.31,0.21
22Month,0,0.14,0,0,0.14,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0
