stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,T_cell
24hpf,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0.85,0,0,0,0,0,0,0,0,0,0,2.54,0,0,0,0,0,0.28,0.56,0,0.28,0,0.28,0,0
21Day,0,0,3.33,0.37,0,0,0,0,0,0.37,0.74,0,1.11,3.7,0.37,0,0,0,0,0.37,0.37,0,0.37,0.74,0,0.37,0.37
3Month,0.1,0.1,3.64,0,0.1,0.52,0.1,0,1.46,0.1,0.1,0.94,0.31,1.14,0.31,0.31,0.1,0.1,0.1,0,0,0,0,0.1,0,0,0.94
22Month,0,0.14,0,0,0,0.14,0.14,0.14,1.91,0,0,0.68,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0.27
