stage,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.56,0,0
21Day,0.37,0.37,0.37,0,0,0,0,0.37,0,1.11,0,1.11,0,0.37,0,0
3Month,0,0,0,0.1,0.1,0.21,0.1,0,0.21,0,0,0,0,0,0.1,0.1
22Month,0,0,0,0,0,0.27,0,0,0,0,0.14,0,0,0,0,0
