stage,Enterocyte,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,1,0,0
72hpf,0,0,0,0,0,0,0.56,0,0,0
21Day,0,0,0,0.37,0,1.48,0.74,0,0,0
3Month,0,0.1,0,0,0.1,0.1,0,0,0.1,0.52
22Month,0.14,0.14,1.91,0,0,0.14,0,0,0.14,0
