stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0.28,0.28,0.56,0,0,0.56,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0.37,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0
3Month,0.31,0.31,5.93,0.21,0.21,0.52,0.73,0,6.24,0.94,2.08,1.04,0.52,1.35,1.87,0.42,0,0.42,0.42,0,0,0.1,0.42,0,1.14,0.1,8.22,0,0.73,213.13,1.25
22Month,0,0,0.96,0,0,0.14,0.41,0.14,6.56,0,0.55,0.27,0,0.27,0.27,0,0.14,0,0,0,0,0,0.14,0,0.27,0,1.5,0.14,0,0.41,0
