stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.56,0,1.41,1.69,0,0,0,0,0,0,0,0,0,0,0.56,0.56,0,1.41,0,0,0,0,1.69,5.36,0,0,1.41,0,0,1.41,0,0,0,0,0
21Day,2.59,0.37,3.33,15.54,0,0.37,0,0,0.37,0,0,0,0.37,0.37,0.37,1.11,0,5.18,0,0,0.74,0,1.48,2.22,0,0,1.48,0.74,0.37,2.59,0.74,0.37,0,0,0
3Month,0,1.35,7.7,0,0.1,0,0.1,0.73,0.1,0,0.94,0.62,0,0.62,0.62,2.6,0,2.29,0.42,0.1,1.04,0.21,0.62,0,0.83,0.31,0,0.31,17.89,0,0,0,0.31,2.29,0.1
22Month,0,2.73,5.47,0,0.96,0.41,0,0.14,0.55,0.14,4.65,1.23,0.68,0.96,0.55,1.09,0.96,5.06,0,0.27,0.82,0.14,0.68,0.14,0.82,0.68,0.27,0,0.41,0,0,0,0,0,0.68
