stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,17.47,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0.28,0,0,0.28,0,1.69,1.97,0,0,0,0.28,0,0,0,0,0,0,0.28,0,0,0
21Day,20.35,0,0,4.81,0.37,0,0,0,0,0,0,0.37,0,0.37,0,0.37,3.33,0.74,3.33,0,0,2.96,0,3.33,0.37,0,0,0,1.11,0.37,0,0,0,0.37,0.74,0,0,0,0
3Month,1.87,4.78,2.91,51.59,0.1,0.83,1.04,0,13.31,15.91,0.1,37.34,17.68,1.87,43.58,4.26,13.11,18.83,13.42,2.29,0.21,5.3,2.81,1.56,0.1,2.7,0.52,0,0.83,1.66,0.31,5.51,0.1,0,0,0.31,5.1,3.02,24.76
22Month,0.55,31.57,7.24,56.16,0.14,0.96,1.64,0.68,14.89,25.69,20.5,137.2,10.8,7.52,103.03,3.01,8.61,29.11,21.59,0.55,2.46,9.84,0.41,0.55,0.14,5.74,1.23,0.27,0.55,0.96,0,0.68,0.68,0.27,0,0.14,2.6,0,29.24
