stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,6,1,0,2,1,1,0,0,0,0,0,0,0,0,0,3,9,8,0,0,0,3,78,0,0,0,0,0,0,0,0,2,0,0,0
72hpf,6.2,0.28,0,1.69,13.25,2.25,0,0,0,0,0,0,0.28,0,0.28,9.3,0.56,5.07,0,0.85,0,131.9,71.03,0.28,0,4.51,0,0,4.23,33.54,26.78,2.25,0,0,0
21Day,12.21,0.74,0.37,3.7,13.32,3.33,0.74,0,0,0,0,0,0.37,0.37,0,2.59,0.74,4.44,0,0,0,29.6,29.97,0.37,0.37,1.85,1.85,0.74,3.33,28.12,65.12,1.85,0,0,1.11
3Month,0,0.1,0,1.66,2.39,0,0,0.31,0.42,0,1.25,0.73,0,0.52,0.21,3.43,0.52,0.42,0.21,0,0.1,0.52,0.21,0,0,0.1,0.21,10.51,0,0.31,0.1,0.21,0.1,3.54,0.21
22Month,0.14,0.14,0.14,0.41,0.68,0,0.14,0.55,0.96,0.27,7.11,0.41,0.14,1.23,0.14,0.82,0.55,0,0,0.27,0,0.27,0,0,0,0,0,2.73,0,19.27,0.14,0,0,0,0
