stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,1.13,0,0,0,0,0,0,0,0,0,0,2.54,0,0,0,0,0,0.56,0.28,0,0,0,0,0,0
21Day,0,15.91,0.37,0,0,0,0,0,0,0,0.37,0,6.66,1.11,0.37,0,0,0,1.11,0,0,0,0,0.74,0,0
3Month,0.1,11.03,0,0.1,0.21,0.1,0,0.83,0.21,0,0.42,0.21,7.7,0.73,0.21,0.1,0,1.04,0,0,0,0.31,0.21,0,0.42,0.31
22Month,0,2.87,0,0,0,0.68,0,14.62,0.27,0.27,0.41,0.27,2.73,0.68,0.41,0,0.14,0.55,0,0,0.27,0,0.41,0,0,0
