stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0.37,0,0.37,0.37,0,0,0.37,0.37,0,2.22,0,0.37,0,0.37,0.37,0,0.74,0,0,0.37,0.37,0,0,0,4.44
3Month,0,1.77,0,0,0.1,0.42,0.73,2.08,1.98,0.73,0.1,0.21,0.31,1.14,0.1,0.1,0.21,0,0,0.1,0.21,1.25,0.1,0.52,12.9
22Month,0,0.14,0,0,0,0,0.41,10.8,0.14,0.41,0.14,0,0.14,1.23,0.41,0,0,0,0.14,0,0,0.14,0,0,3.55
