stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,2,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0.28,2.54,0.85,0,0.28,0.28,0,0
21Day,0.37,0,0,0,0,0,4.44,2.96,0,0,0.74,0,0.37,0.37
3Month,0,0.1,0.1,0.1,0.1,0,0.31,0,0,0.1,0,0,0,0
22Month,0,0,0.27,0.14,0,0.27,0,0,0,0,0,0,0,0
