stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,11.84,0.28,0,0,0,0,0,0,1.97,18.6,5.64,0,0,0.56,0,1.13,0.28,0,0,0.28,0,0,0.28,0,0
21Day,14.8,0,0.37,0,0,0,0,0.37,0,20.72,1.48,0.37,0,0,0,1.11,0,0,0.37,0,0.74,0.37,0,0,0
3Month,2.08,0,0,0.1,1.46,0.31,0.21,0.1,0,0.21,12.17,0,0.21,0,0.1,0.21,0,0,0,0.1,0.1,1.66,0,0.1,0.21
22Month,0.55,0,0,0,0.55,0.55,0,0.14,0,0.14,9.98,0,0,0,0,0,0,0.14,0,0,0,2.73,0,0,0.14
