stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia
72hpf,0,0,0.28,0,0,0,0,0,0,0,0.56,0,0,0,0,7.33,0.56,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0.37,2.96,0.37,0,0,0
3Month,0,0.1,0,0,0,0,0,0.52,0.1,0.1,0,0,0.1,0,0,0.21,0,0.1,0.31,0
22Month,0.14,0.14,0,0,0.14,0.14,0.27,43.45,0,0.41,0,0.27,0.27,0.41,0,0,0,0.14,0.27,0.14
