stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,1,0,0,0,1,3,0,0,0,35,0,1,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0.37,0,0,0,0
3Month,0,0.42,0.21,0.31,0.94,0,0.21,0.1,0.42,0.21,0.1,0.1,0.21,0.1,0,0.1,0,0.31,19.76,0.1,0.31,3.22
22Month,0,0,0,0.14,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14,0.14,0,0
