stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,17,0,0,0,0,0,0
72hpf,0.56,0.28,0,0,0.56,0,0,0,0,0,0,0.28,0,0,1.13,0,1.41,3.95,1.97,0,0.56,0,0,0
21Day,0.37,0.74,0.37,0.74,0,0.37,0,0,0,0.37,0,0,0.37,0.37,3.33,0,0.37,2.22,1.48,0,0,0,0,0.37
3Month,0,0,0,0.31,0,0,0.1,0.1,0.42,0,0.1,0,0,0,0,0.31,0.1,0,0,0.31,0,0.1,0.1,0.21
22Month,0,0.14,0,0.68,0,0,0,0,0.68,0,0,0,0,0.27,0.27,0,0,0,0,0,0,0,0,0.14
