stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell
24hpf,0,0,5,1,0,0,0,0,0,0,0,1,0,0
72hpf,0,0.28,3.95,0.56,0,0,0,2.54,0,2.25,0.56,0.85,1.13,0
21Day,0.37,0,3.33,0.37,0,0,0,2.22,0,3.7,0,0,0,0.37
3Month,0,0,0.31,0,0,0.21,0,0.73,0.1,0.1,0,0,0,0
22Month,0,0,0,0,0.14,0.82,0.14,0.14,0.14,0,0,0,0,0
