stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
72hpf,1.97,0.28,0,0,0.85,0,0,0,0,0,0,0,1.69,0,0.28,0,80.33,4.79,0,0.28,1.13,0,0,0.85,0,0,0
21Day,1.11,0,0.74,0.37,0.74,0,0,0,0,0,0,0.37,1.48,0.37,3.33,0.37,42.92,2.59,0,0,1.11,1.11,0,0.74,0.37,0,0.37
3Month,0,0,0.21,0,0,0.1,0.1,0,0.83,0,0,0.21,0,0.1,0.1,0,0.1,0,0.1,0,0,0,0.31,0,0,0.1,0
22Month,0,0,0.41,0,0,0,0.27,0.27,2.6,0.14,0.14,0.96,0.14,0.14,0.68,0.14,0.41,0,0.27,0,0,0,2.05,0.14,0,0,0.14
