stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0.28,0,0,0,0,0.28,0.56,0,2.25,0,0.28,0,4.23,0.56,0,0,1.13,0,0,0.28,0.28,0,0,0
21Day,0,0,1.85,0.74,0,0,0,0,0,0,0,0,0,1.11,0.37,2.22,0,0.37,0,0,0,0,0,0.37,0.37,0,0,0,0,0,0
3Month,0.1,0,1.04,0,0.1,0,0.1,0.21,1.14,0.31,0.1,1.56,0.21,0.42,0.1,0.31,0,0.1,0.21,0.1,0.1,0.1,0,0,0,0.83,0.21,0,0,0.1,0.42
22Month,0,0.14,0.68,0,0,0.14,0,0.14,1.91,0.27,0,0,0,0.27,0.68,0.41,0.14,0.14,0,0,0,0,0.55,0,0,0,0.14,0,0.14,0,0
