stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0
3Month,0.31,0.1,0,1.98,0.1,0.52,0,37.55,1.56,0,1.25,0.62,0.42,1.46,0.73,0.21,0.31,0.31,0,0,0.21,0.1,0,0.21,0.31,0.1,2.18,0,0.1,6.14,1.14
22Month,0.41,0.41,0.14,0.82,0.27,7.11,0.14,60.26,1.5,0.14,5.47,0,0.14,2.05,0.68,2.19,0,0,0,0,0,0.14,0.27,0,0,0,0.82,0.14,0,0.14,0.41
