stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.28,0.28,0.28,0,0,0,0,0,0,0,0,1.13,0.28,11.84,0,0,0,1.41,0.28,8.46,0,0,0,0,0,0,0,0
21Day,1.85,0,0,3.33,0,0.37,0,0,0,0.37,0.37,0,0,0.37,1.48,0.37,24.42,0,0,1.85,0.37,1.11,5.92,0.74,0,0.37,0.37,0.37,0,0,0
3Month,0,0.1,0,4.37,0,0,0.1,0.21,0.21,0,0.73,0.1,0.21,0.1,1.46,0.1,1.35,0.31,0,0.31,0,0,0.1,0,0.21,0.1,0,0,0.21,0.21,0.21
22Month,0.14,0.41,0.68,1.64,0,0,0,0.55,0.14,0,2.73,0,0.41,0,0.41,0.14,0.41,0,0.14,0,0,0,0,0,0.14,0,0,0,0,0,0
