stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
72hpf,1.69,1.41,0,0,0,0,0,0,0,0,7.89,0,0.28,0,0,0,0,0,0,0,0,0
21Day,1.11,12.58,0,0,0,0,0,0.74,0,0,2.96,0,0.37,0,0,0,0.37,0,0.37,0.37,0,0
3Month,0,13.73,0.1,0.1,0.1,0,0.52,0.1,0.1,0.1,7.7,0,0.1,0.1,0.21,0.1,0.31,0.21,0,0,0.1,0.21
22Month,0,0.14,0,0,0,0.14,0.68,0,0,0,0.55,0.27,0,0,0,0,0,0,0,0,0,0
