stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,241,0,10,0,0,0,0,38,0,0,1,0,0,0,0,0,0,0
72hpf,2.82,0.85,0,10.71,0.28,2.54,0,0,0,0,0,0,0,0.28,0,1.13,436.3,0.85,7.89,0,0.28,0.28,25.93,14.94,0.28,0.28,4.79,0.28,0,3.1,0,0,0,0
21Day,0.37,0,0,3.7,0,0,0,0,0,0,0,0,0,0.37,0,0,7.03,0,1.85,0,0.74,0,0.74,0.74,0,0,1.48,0,0,0.37,0,0,0,0
3Month,0.1,0.21,0.52,3.22,0.1,0,0.1,0.31,0.1,0.1,0,1.56,0.1,0,0.94,0.73,0.31,0.62,4.26,0.52,0.73,1.66,0.21,0.1,0.21,0.42,0.21,0,0.42,0.1,0.1,0.31,0.1,0.1
22Month,0,0,0.27,0.82,0,0,0,0.14,0,1.78,0,2.32,0,0,0.41,0,0,0,0.27,0,0.14,0,0,0,0.14,0.14,0,0,0,0,0,0,0,0
