stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.85,1.13,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0
21Day,0,0,1.11,0,0,0,0,0,0,1.11,0,0.74,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0,0,1.11
3Month,0.1,0.21,2.08,0,0.31,3.22,0,0.31,5.2,0,0.21,0.94,4.47,0.1,0.21,0.31,0.1,0,0.1,0.1,0.1,1.04,0,0,0.1,0.21,0.94
22Month,0.14,0,0.82,0.14,0.14,5.74,0.14,2.32,1.23,0.27,0.27,0.27,3.14,0,0,0.14,0,0.14,0,0.14,0,0.55,0.14,0,0,0,0.41
