stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,2.82,1.69,0,0.85,0,0,0,0,0,0,0,0
21Day,0.37,0.37,0.74,1.85,0.37,0,0,0,0.37,0,0,0.37,0,0,0.74,0.74,0.37,0.74,1.11,0,0,0,3.33,1.11,0,0.37,0,0,0.74,1.11,1.11,0,0,0
3Month,0,0,0.31,2.81,0,0.21,0,0.31,0.83,0,0,8.74,0.83,0.21,1.66,2.08,1.04,1.56,1.25,0,0.31,0.83,0.21,0,0.21,0,0.31,0.83,0.1,0,0,0.31,0.21,0.73
22Month,0,0.14,0,0.27,0.14,0,0.14,0,0.41,0.27,0,8.47,0.55,0.55,0.82,0,0.14,1.78,1.09,0.14,0.14,0,0.14,0.14,0,0,0,0,0,0,0,0,0,0.55
