stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
72hpf,0.28,0.28,0.28,0.28,0,0,0,0,0.85,1.97,0,51.58,11.56,0,0.28,1.13,0,0.85,0.28
21Day,1.48,0,1.11,0,0.37,0,0,0,0,1.48,0.37,18.13,2.22,0.37,0.37,0.74,0.37,0.74,0
3Month,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0
22Month,0,0.14,0.41,0,0,1.09,0.14,0.27,0,0,0,0,0,0,0,0,0,0,0
