stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,1.69,0,0,1.13,1.13,0,0,0,0.28,0,0,0,0,0,0.56,0,0.56,0,0.28,0,0,3.1,3.38,0,3.1,0,2.54,0,0,0,0,0.28,0,0,0,0
21Day,9.99,0,0,14.8,0,0.74,0,0,0,0,0,0.37,0,0.74,2.22,0,4.81,0,0,7.4,0,1.48,1.11,0,1.11,0,2.59,0.37,0.37,0.37,0.37,0.37,0.37,0,0,0.37
3Month,0.42,0.21,0.1,17.58,0.1,0,0.1,0.21,0.31,2.5,1.25,0,1.25,1.04,1.14,0.42,0.62,0.21,0,23.2,0.31,0.1,0.1,0.1,1.04,0,0,0.62,27.98,0.1,0,0,0,0.31,33.18,0.42
22Month,0,0.14,0,5.6,0.14,0,0.14,0.14,0.27,2.46,0.27,0.14,0.14,0.27,0.14,0,0.55,0.14,0.27,10.93,0,0,0.14,0,0.96,0.14,0,0,2.32,0.27,0,0,0,0,0,0
