stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,1,2,0,5,0,0,0,0,0,0,0,0,0,2,1,7,0,0,0,0,2,49,0,0,2,0,0,0,0,1,0,0
72hpf,0.56,0,0,0.56,0,0,0,0,0,0,0,0,0,1.13,0,2.25,0,0,0,0,8.74,4.79,0,0,0.85,0,0,0.85,0.28,0,0,0
21Day,2.22,0,0,4.07,0,0.37,0,0,1.11,0,0.74,0,0,1.48,0.74,4.44,0,0,0.74,0,3.33,3.7,0,0,1.85,0,0,0.74,0,0,0,0.37
3Month,0,0,0,0.42,0,0.1,0,0,0.31,0,0,0,0,0.1,0,0.1,0.1,0,0,0.1,0,0,0,0,0,0.1,0.21,0,0,0,0.1,0.1
22Month,0,0.68,0.14,1.64,0.14,0,0.41,0.55,7.11,0.27,0.68,1.91,0.14,0.41,1.37,2.6,0.14,0.96,0,0,0,0,0.14,0.14,0.27,0.14,0.14,0.14,0,0,0,0.27
