stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,4.23,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.28,0,0,0,0,0,0,0,0
21Day,2.59,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0.37
3Month,48.26,1.77,0,0.1,0.1,0.42,0.21,0,2.08,0.42,0.73,0.31,0.52,0.42,0.62,0.21,0,0.21,0.1,0,0.21,0.1,0.31,0.42,0.42,1.77,0.1,0.42
22Month,38.13,0.68,0,0,0,0.14,0.55,0.27,3.83,0.27,0.55,0,0.14,0.27,0.55,0,0.14,0.14,0.14,0,0.14,0,0,0,0.41,0.41,0,0.41
