stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0
72hpf,0.56,0,0.56,0,0.28,0,0,0,0,0.28,0,0,0.56,0,0.56,0.28,6.48,2.82,0.85,0,0,0.28,0,0
21Day,0.37,0,2.59,0,0,0.37,0,0,0.37,0.37,0,0.74,0,0.37,1.85,0,2.96,2.59,1.48,0.37,0.37,0,0,0
3Month,0,0,0.52,0.1,0,0,0.1,0,0.1,0,0.21,0,0.21,0.1,0.31,0,0,0,0,0,0.31,0,0.1,0.1
22Month,0,0.14,0,0,0,0,0,0.27,1.09,0,0,0,0.14,0.14,0.14,0,0,0,0,0,0,0,0.14,0
