stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,1,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.85,0,0,0,0,0,0,0.28,0,0,0,0,0,4.23,0.56,0.85,0,0.28,0,0,0.56,0,0,0
21Day,0.37,0,1.11,0,0,0,0,0,0.37,0,0,0.74,0,0,0,1.85,0.37,1.11,0,0.37,0,0,0,0.37,0,0
3Month,0,0.1,2.5,2.81,0.31,1.56,0.21,0.31,0.1,0.52,0.31,1.98,0.52,0,0.21,0.83,0,2.91,0.21,0,0.1,0.73,0.1,0,0.1,25.9
22Month,0,0,0.68,0.55,0.14,1.09,0,0.27,0.14,0,0.14,0.82,0,0.14,0,0.14,0,2.32,0,0,0,0.68,0,0,0,0.14
