stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0,0.28,3.38,0,0,0,0,0,0,0,0,1.69,1.97,0.28,0.56,0,0,0,1.97,1.69,0.28,0.85,0,0,0.56,0,0,0,0
21Day,1.85,0,0.74,1.48,6.29,0.37,0,0,0,0,0,0.37,0,0.37,2.22,1.11,2.22,0.37,0.37,0,1.48,1.85,0,1.85,0,0.37,0.37,0,0,0,0.37
3Month,0,0,0.1,1.14,0.42,0,0.1,0.21,0,4.06,0.21,0,0.83,0.1,0.42,0.31,0.31,0,0,0,0.1,0,0.21,0,0.21,1.98,0.1,0,0.21,0.31,0.42
22Month,0,0.41,0,0.82,0.27,0,0,0,0.14,12.03,0.27,0,2.32,0,0.41,0.27,0.55,0.27,0,0.14,0,0,0.27,0,0,0.41,0.14,0.14,0,0,0.27
