stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,2,3,0,0,0,0,0,0
72hpf,0,0.28,0.28,0.28,0.28,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0.28,0.85,0.28,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0.74,0.37,0,0.74,0.37,0.74,0,0,0,0,0
3Month,0,0.31,0.83,0,0.1,0,0,0.31,1.98,0.21,0.21,0.1,0.31,0.21,0.31,0.21,0.31,0,0,0,0.1,3.22,0.31,0.83,0.52
22Month,0,0,0.14,0,0,0.14,0.14,0.14,4.37,0,0.14,0,0,0.27,0.14,0,0,0,0,0,0,0,0,0,0.27
