stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0.28,0.56,1.69,0,0.28,0,0,1.13,0.56,0,0.56,0,0,1.41,0,0
21Day,0.74,0,0.37,1.11,0,0,0,1.85,0,0.37,0,0,0.37,0,2.59,0,0,0.37,0.37,0,0.37,0.74,0,0,0,0
3Month,0,0,0.1,1.66,0.1,0,0,1.56,0.31,0,0.1,0.21,0.21,0.1,0.62,0.1,0.1,0.1,0,0.83,0,0,0.31,0,0.52,0.21
22Month,0,0.14,0,0.41,0,0.14,0.14,1.37,0.14,0,0,0.14,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0
