stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.07,2.54,3.66,3.66,2.82,0,0,0,0.28,0,0,0,0,0.56,0,1.13,10.43,1.41,16.35,0,0,1.13,304.68,23.96,0.28,0.56,21.7,0.28,0.28,5.64,0.56,0.56,1.13,0,0,0
21Day,11.47,1.85,5.55,2.59,6.66,0,2.22,0,1.11,0,0,0.74,1.85,4.44,0.37,0.74,3.33,3.7,34.78,0,0,5.92,108.41,7.4,0.37,2.96,11.1,4.81,0.37,7.4,0,1.48,0,0,0,0.74
3Month,0,0.31,1.66,0,0,0,0,0,0.52,0,0,1.98,0.42,0,0.62,0.21,2.18,0.94,3.43,1.77,0,0.21,0.21,0,0,0.31,0.1,0.31,1.04,0,0,0,0.1,0.1,0.1,0.62
22Month,0,0.14,1.5,0.14,0,0.14,0,0.27,1.09,0.27,0,10.11,0.82,0.14,0.41,0,0.41,0.82,2.73,0.14,0.41,0.27,0,0.14,0.27,0.41,0,0.14,0.41,0.55,0.14,0,0.14,0,0,0.41
