stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,11,5,0,12,7,1,0,0,0,0,0,3,0,0,0,0,3,5,8,43,0,0,0,1,15,2461,0,6,0,0,0,0,0,0,0,0,0
72hpf,7.33,1.69,0,13.81,6.48,7.61,0,0.56,0,0,0.56,0,0,0,0,0,1.97,12.97,1.41,33.26,0,0.56,0.56,0,602.59,178.13,0.56,92.73,1.13,0,36.08,1.13,1.13,3.38,0,0,0
21Day,3.33,0.74,0.74,11.84,1.85,1.85,0,1.11,0,0,0,0,0.37,0.74,1.11,1.11,0.37,4.07,1.85,25.53,0,0,1.85,0.37,111.74,43.66,0.74,36.63,7.03,0.74,8.88,1.85,1.11,0.37,0,0,0.74
3Month,0.21,0.31,0.21,7.28,0.21,0,0.1,0.1,1.35,0.1,0.42,0,1.04,0,0,0.52,0.73,5.51,0.1,16.02,0.1,0,0.52,0,0.52,0.21,0,0.1,0.1,1.14,0.31,0,0,0.42,0.52,0.21,0.31
22Month,0,0,0,0.27,0,0,0,0,0.14,0.14,0.14,0,1.09,0,0.27,0,0.14,0.27,0,4.1,0,0.14,0.41,0,0.68,0.14,0,0,0,2.19,0.14,0.14,0,0,0.14,0,0
