stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0,0.37,0.74,0.37,0,0,0,0,0,0,0,0,0,0,0.74,0.74,0,0,0,0,2.22,2.59,0
3Month,0.1,0.73,0.21,0,0.1,0.1,0,0.52,0.1,0.21,0.1,0.1,0.31,0.1,0.1,0,0,0.1,0,0.1,0,0,4.99
22Month,0.14,0,0,0,0.14,0.14,0.41,2.46,0,0.41,0,0.14,0,0,0,0,0.14,0,0.14,0.14,1.64,0,0.14
