stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,1,0,0,0,0,0,13,0,0,0
72hpf,0,0.28,0,0,0,4.51,5.64,0.28,0.56,0.28
21Day,0,0,0,0,0.37,2.59,1.48,0,0.37,0
22Month,0,0,0.27,0.14,0,0,0,0,0,0
