stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,2,0,0,0,0
72hpf,0.28,1.13,0.28,0,0,0.28,0,16.91,1.41,0.28,0,0.85,0
21Day,0,1.48,0.37,0,0,0,0,5.92,0.37,0,0,0,0
3Month,0,0.1,0,0.21,0.1,0.1,0.21,0,0,0,0.42,0,0.21
22Month,0,0,0,0.68,0.14,0,0,0,0,0,0,0,0
