stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,2.25,0,0.28,0,7.33,1.41,0,0,1.41,0,0,0.28,0,0,0,0
21Day,0.37,0,1.11,0,1.48,0,0,0,0,0,0,0.37,0,1.85,0,0,0.74,3.33,8.51,0,1.85,0,18.5,1.85,0.37,0.74,2.96,0.74,0,1.11,0,0,0,0
3Month,0.1,0.73,2.5,0.21,0,0.1,0.1,0.1,0.62,0.42,0,2.18,0.42,0.94,2.08,0.42,0.31,8.43,6.03,0.62,0.52,0.21,0.52,0.1,1.25,0.1,0,0.31,1.35,0.83,0.1,20.7,37.34,2.08
22Month,0.14,0.27,0.27,0,0,0,0,0,0.27,0.68,0.41,2.87,0.14,0.14,0.82,0,0.14,4.78,0.96,0,0,0,0.27,0,0.27,0,0.14,0,0.55,0.68,0,1.91,0,0.55
