stage,Cardiomyocyte,Erythrocyte,Granulocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,T_cell
24hpf,0,0,0,0,0,1,0
72hpf,0.28,0,0,0,1.41,0.56,0
21Day,0,0.37,0.37,1.48,0,0.37,0.37
