stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.13,0.56,0,0,0,0,0.28,0,0,0,0,0,0.56,0.85,0,0.56,0,0,0,0,3.66,0.56,0,0,0,1.41,0,0,0.85,0,0,0,0,0,0
21Day,0,0,2.59,0.37,1.11,0,0.37,0,0,0,0.37,0,0.74,0.74,0,0.74,0.74,1.48,0,0,0,0,2.22,1.11,0,0.37,0,0,0.37,0,0.74,0,0.37,0,0,0,0
3Month,1.25,0.83,12.9,0,0,0.83,0.1,3.43,5.51,0,26.94,5.41,0.1,11.03,1.25,4.58,3.12,6.87,1.46,0.1,1.98,2.18,1.14,0.1,1.04,0.42,0,0.31,1.25,10.4,0.83,0.1,0,0.1,1.87,1.14,4.58
22Month,2.32,0.55,6.97,0.14,0,0.82,0.27,0.55,9.84,3.42,50.83,1.91,1.09,13.66,0.55,1.37,4.78,5.47,0,4.24,0.55,0.14,0.41,0.14,1.23,0.82,0.41,0.68,0.14,1.09,0.82,0.27,0,0,0.14,0,2.32
