stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,1,1,1,0,0,1,1,1,0,0
72hpf,0.85,0,0.28,0,0,0.28,0.28,0.28,0.28,0
21Day,0,0.37,0.37,0,0,0,0,0,0.37,0
22Month,0,0,0,0.55,0.27,0,0.14,0,0,0.27
