stage,Enterocyte,Goblet_cell,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Retinal_cell
72hpf,0,0,0,0,0,0,0,2.25,0.28,0.28
21Day,0.37,0,0,0,0,0.37,0,2.22,0,0
3Month,0,0.1,0.52,0,0,0,0,0,0,0
22Month,0,0,0.82,0.14,0.14,0,0.14,0,0,0.14
